"Unique Identifier: ","H6/H6_M2/M2.WM","H6/H6_M2/M2_N.WM"
"Time Period","M2.WM","M2_N.WM"
2006-01-02,6666.3,6701.1
2006-01-09,6684.5,6719.6
2006-01-16,6695.6,6710.1
2006-01-23,6706.7,6660.3
2006-01-30,6696.1,6609.9
2006-02-06,6699.2,6676.2
2006-02-13,6704.3,6679.5
2006-02-20,6730.2,6704.1
2006-02-27,6742.9,6705.7
2006-03-06,6741.4,6772.6
2006-03-13,6727.4,6764.0
2006-03-20,6735.5,6772.7
2006-03-27,6744.8,6751.3
2006-04-03,6738.6,6810.5
2006-04-10,6750.7,6852.5
2006-04-17,6766.7,6891.6
2006-04-24,6778.6,6808.5
2006-05-01,6774.5,6754.7
2006-05-08,6758.2,6768.5
2006-05-15,6777.4,6785.5
2006-05-22,6791.9,6764.4
2006-05-29,6789.7,6750.9
2006-06-05,6795.6,6827.7
2006-06-12,6806.3,6832.6
2006-06-19,6817.4,6836.6
2006-06-26,6839.2,6793.2
2006-07-03,6837.3,6843.1
2006-07-10,6856.8,6878.5
2006-07-17,6864.5,6861.8
2006-07-24,6865.8,6813.7
2006-07-31,6853.9,6803.5
2006-08-07,6861.9,6874.8
2006-08-14,6868.4,6869.0
2006-08-21,6891.4,6871.3
2006-08-28,6892.7,6838.7
2006-09-04,6900.1,6901.5
2006-09-11,6902.9,6912.0
2006-09-18,6906.6,6902.8
2006-09-25,6919.3,6844.4
2006-10-02,6929.3,6886.2
2006-10-09,6953.3,6942.9
2006-10-16,6961.2,6962.3
2006-10-23,6968.7,6919.5
2006-10-30,6967.0,6902.9
2006-11-06,6978.0,6984.5
2006-11-13,6984.9,6989.3
2006-11-20,7001.7,7000.9
2006-11-27,7026.1,7003.2
2006-12-04,7022.6,7036.0
2006-12-11,7027.6,7044.8
2006-12-18,7038.7,7062.9
2006-12-25,7065.3,7081.2
2007-01-01,7069.2,7097.6
2007-01-08,7070.2,7114.7
2007-01-15,7085.4,7107.4
2007-01-22,7082.2,7053.7
2007-01-29,7078.5,6999.5
2007-02-05,7087.7,7066.5
2007-02-12,7087.9,7068.1
2007-02-19,7096.5,7082.8
2007-02-26,7117.5,7085.0
2007-03-05,7103.5,7135.8
2007-03-12,7113.3,7157.4
2007-03-19,7127.9,7180.7
2007-03-26,7164.4,7180.2
2007-04-02,7170.7,7238.9
2007-04-09,7181.6,7304.8
2007-04-16,7196.4,7315.9
2007-04-23,7211.6,7263.3
2007-04-30,7197.5,7178.8
2007-05-07,7205.3,7223.0
2007-05-14,7211.1,7223.5
2007-05-21,7226.4,7212.4
2007-05-28,7226.9,7189.9
2007-06-04,7232.4,7258.6
2007-06-11,7240.1,7266.6
2007-06-18,7249.6,7276.9
2007-06-25,7262.5,7215.5
2007-07-02,7273.0,7262.5
2007-07-09,7268.3,7290.1
2007-07-16,7279.4,7274.8
2007-07-23,7285.8,7232.8
2007-07-30,7288.7,7223.1
2007-08-06,7300.9,7303.0
2007-08-13,7317.0,7305.9
2007-08-20,7353.4,7330.9
2007-08-27,7393.9,7330.2
2007-09-03,7372.7,7353.6
2007-09-10,7365.5,7366.1
2007-09-17,7371.9,7367.8
2007-09-24,7371.9,7294.5
2007-10-01,7380.9,7319.5
2007-10-08,7384.7,7369.3
2007-10-15,7373.9,7367.8
2007-10-22,7376.0,7330.2
2007-10-29,7407.8,7332.3
2007-11-05,7395.8,7390.6
2007-11-12,7397.1,7392.5
