
date, L Income, L 2020, L 2030, L 2040, L 2050, G Fund, F Fund, C Fund, S Fund, I Fund, 
2015-02-09, 17.512200, 23.019100, 24.954400, 26.547600, 15.063000, 14.649100, 16.984300, 27.059100, 36.581000, 24.824500, 
2015-02-06, 17.525700, 23.068200, 25.025000, 26.635900, 15.119700, 14.647100, 16.986400, 27.173500, 36.803300, 24.913000, 
2015-02-05, 17.548300, 23.137900, 25.120200, 26.749600, 15.192600, 14.646500, 17.074000, 27.258900, 36.904200, 25.189500, 
2015-02-04, 17.513000, 23.021800, 24.956400, 26.546700, 15.062700, 14.645900, 17.082600, 26.975400, 36.427400, 25.006600, 
2015-02-03, 17.524600, 23.059700, 25.009600, 26.612100, 15.104200, 14.645200, 17.090200, 27.080400, 36.558000, 25.051100, 
2015-02-02, 17.473600, 22.880400, 24.757900, 26.302500, 14.903900, 14.644600, 17.164200, 26.694500, 35.938400, 24.622700, 
2015-01-30, 17.436300, 22.766000, 24.599600, 26.109700, 14.781800, 14.642900, 17.158900, 26.352000, 35.625400, 24.507700, 
2015-01-29, 17.471200, 22.889100, 24.775100, 26.328500, 14.922000, 14.641200, 17.099800, 26.698700, 36.173600, 24.636200, 
2015-01-28, 17.442800, 22.796400, 24.645200, 26.168600, 14.819900, 14.640300, 17.121400, 26.444100, 35.852200, 24.512300, 
2015-01-27, 17.485000, 22.949000, 24.860900, 26.435100, 14.992600, 14.639500, 17.049900, 26.804200, 36.391700, 24.843700, 
2015-01-26, 17.507700, 23.013700, 24.951800, 26.547500, 15.061200, 14.638600, 17.043700, 27.167000, 36.609900, 24.636400, 
2015-01-23, 17.488000, 22.948400, 24.858800, 26.430800, 14.985600, 14.636100, 17.052900, 27.096800, 36.217000, 24.442900, 
2015-01-22, 17.497200, 22.985300, 24.910700, 26.494300, 15.026800, 14.635200, 16.995700, 27.246400, 36.278100, 24.467900, 
2015-01-21, 17.454900, 22.852900, 24.723100, 26.260100, 14.879000, 14.634400, 17.010800, 26.836500, 35.633000, 24.444600, 
2015-01-20, 17.438700, 22.796700, 24.645700, 26.166700, 14.818300, 14.633500, 17.039300, 26.706600, 35.533100, 24.290800, 
2015-01-16, 17.428300, 22.770000, 24.612600, 26.130400, 14.795000, 14.630100, 17.026500, 26.664400, 35.634100, 24.159300, 
2015-01-15, 17.388000, 22.635800, 24.423900, 25.897200, 14.645800, 14.629200, 17.070400, 26.311100, 35.103900, 23.976800, 
2015-01-14, 17.402500, 22.681000, 24.492400, 25.988400, 14.701800, 14.628400, 17.028500, 26.556000, 35.606000, 23.738800, 
2015-01-13, 17.418600, 22.740100, 24.575300, 26.089900, 14.767400, 14.627500, 16.997000, 26.710100, 35.757400, 23.864900, 
2015-01-12, 17.420700, 22.748000, 24.586200, 26.103000, 14.775500, 14.626700, 16.984400, 26.776300, 35.745200, 23.828200, 
2015-01-09, 17.432900, 22.793400, 24.652000, 26.185600, 14.827800, 14.624100, 16.942400, 26.994400, 35.934300, 23.762500, 
2015-01-08, 17.454500, 22.867600, 24.756800, 26.315500, 14.910800, 14.623200, 16.908200, 27.223300, 36.217700, 23.826000, 
2015-01-07, 17.397000, 22.677200, 24.491600, 25.991200, 14.703100, 14.622400, 16.945700, 26.744300, 35.635100, 23.484100, 
2015-01-06, 17.363300, 22.574000, 24.347000, 25.812600, 14.590600, 14.621500, 16.939600, 26.428500, 35.212200, 23.438300, 
2015-01-05, 17.389100, 22.668200, 24.481800, 25.981300, 14.699500, 14.620700, 16.886000, 26.665500, 35.658500, 23.583800, 
